underlying,expiry,option_type,strike,contract_key,open_date,close_date,open_process_date,close_process_date,quantity,entry_price,exit_price,pnl_per_contract_dollars,total_pnl_dollars,result,holding_days,source_file_open,source_file_close,description
RR,10/17/2025,C,3.0,RR|10/17/2025|C|3.0,2025-09-16,2025-09-22,2025-09-16,2025-09-22,1,1.25,1.5,25.0,25.0,WIN,6,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RR 10/17/2025 Call $3.00
RR,10/17/2025,C,3.0,RR|10/17/2025|C|3.0,2025-09-16,2025-09-22,2025-09-16,2025-09-22,2,1.25,1.5,25.0,50.0,WIN,6,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RR 10/17/2025 Call $3.00
RR,10/17/2025,C,3.0,RR|10/17/2025|C|3.0,2025-09-16,2025-09-22,2025-09-16,2025-09-22,2,1.25,1.5,25.0,50.0,WIN,6,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RR 10/17/2025 Call $3.00
ORCL,10/3/2025,C,310.0,ORCL|10/3/2025|C|310.0,2025-09-22,2025-09-23,2025-09-22,2025-09-23,1,11.89,11.8,-9.0,-9.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,ORCL 10/3/2025 Call $310.00
SOFI,9/26/2025,C,27.5,SOFI|9/26/2025|C|27.5,2025-09-15,2025-09-23,2025-09-15,2025-09-23,4,1.3,2.45,115.0,460.0,WIN,8,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SOFI 9/26/2025 Call $27.50
DIS,9/26/2025,C,112.0,DIS|9/26/2025|C|112.0,2025-09-22,2025-09-24,2025-09-22,2025-09-24,1,1.83,2.3,47.0,47.0,WIN,2,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,DIS 9/26/2025 Call $112.00
DIS,9/26/2025,C,112.0,DIS|9/26/2025|C|112.0,2025-09-22,2025-09-24,2025-09-22,2025-09-24,1,1.83,2.3,47.0,47.0,WIN,2,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,DIS 9/26/2025 Call $112.00
UUUU,10/3/2025,C,15.0,UUUU|10/3/2025|C|15.0,2025-09-19,2025-09-24,2025-09-19,2025-09-24,2,1.25,3.35,210.0,420.0,WIN,5,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UUUU 10/3/2025 Call $15.00
DIS,9/26/2025,C,112.0,DIS|9/26/2025|C|112.0,2025-09-22,2025-09-26,2025-09-22,2025-09-26,1,1.83,1.19,-64.0,-64.0,LOSS,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,DIS 9/26/2025 Call $112.00
SOFI,9/26/2025,C,27.5,SOFI|9/26/2025|C|27.5,2025-09-15,2025-09-26,2025-09-15,2025-09-26,2,1.3,0.46,-84.0,-168.0,LOSS,11,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SOFI 9/26/2025 Call $27.50
CHWY,11/21/2025,C,37.5,CHWY|11/21/2025|C|37.5,2025-09-23,2025-09-29,2025-09-23,2025-09-29,1,3.05,4.05,100.0,100.0,WIN,6,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CHWY 11/21/2025 Call $37.50
UUUU,10/3/2025,C,15.0,UUUU|10/3/2025|C|15.0,2025-09-19,2025-09-29,2025-09-19,2025-09-29,1,1.25,2.15,90.0,90.0,WIN,10,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UUUU 10/3/2025 Call $15.00
CNC,10/3/2025,C,35.0,CNC|10/3/2025|C|35.0,2025-09-26,2025-09-30,2025-09-26,2025-09-30,1,1.14,1.0,-14.0,-14.0,LOSS,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CNC 10/3/2025 Call $35.00
PFE,10/3/2025,C,24.5,PFE|10/3/2025|C|24.5,2025-09-30,2025-09-30,2025-09-30,2025-09-30,1,0.38,1.07,69.0,69.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PFE 10/3/2025 Call $24.50
PFE,10/31/2025,C,25.0,PFE|10/31/2025|C|25.0,2025-09-30,2025-09-30,2025-09-30,2025-09-30,1,0.69,1.1,41.0,41.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PFE 10/31/2025 Call $25.00
PFE,10/31/2025,C,25.0,PFE|10/31/2025|C|25.0,2025-09-30,2025-09-30,2025-09-30,2025-09-30,2,0.69,1.1,41.0,82.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PFE 10/31/2025 Call $25.00
PFE,10/3/2025,C,24.5,PFE|10/3/2025|C|24.5,2025-09-30,2025-10-01,2025-09-30,2025-10-01,1,0.38,1.32,94.0,94.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PFE 10/3/2025 Call $24.50
PFE,10/31/2025,C,25.0,PFE|10/31/2025|C|25.0,2025-09-30,2025-10-01,2025-09-30,2025-10-01,1,0.69,1.9,121.0,121.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PFE 10/31/2025 Call $25.00
BABA,10/3/2025,C,180.0,BABA|10/3/2025|C|180.0,2025-09-29,2025-10-02,2025-09-29,2025-10-02,1,4.05,9.3,525.0,525.0,WIN,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BABA 10/3/2025 Call $180.00
BIDU,10/3/2025,C,135.0,BIDU|10/3/2025|C|135.0,2025-09-25,2025-10-02,2025-09-25,2025-10-02,1,4.99,8.75,376.0,376.0,WIN,7,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BIDU 10/3/2025 Call $135.00
HOOD,10/3/2025,C,123.0,HOOD|10/3/2025|C|123.0,2025-09-19,2025-10-02,2025-09-19,2025-10-02,1,5.75,19.2,1345.0,1345.0,WIN,13,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,HOOD 10/3/2025 Call $123.00
MU,10/3/2025,C,167.5,MU|10/3/2025|C|167.5,2025-09-23,2025-10-02,2025-09-23,2025-10-02,1,9.51,14.65,514.0,514.0,WIN,9,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MU 10/3/2025 Call $167.50
PFE,10/31/2025,C,25.0,PFE|10/31/2025|C|25.0,2025-09-30,2025-10-02,2025-09-30,2025-10-02,1,0.69,2.19,150.0,150.0,WIN,2,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PFE 10/31/2025 Call $25.00
UNH,10/3/2025,C,337.5,UNH|10/3/2025|C|337.5,2025-09-22,2025-10-02,2025-09-22,2025-10-02,1,9.8,11.0,120.0,120.0,WIN,10,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UNH 10/3/2025 Call $337.50
AMD,10/3/2025,C,162.5,AMD|10/3/2025|C|162.5,2025-09-29,2025-10-03,2025-09-29,2025-10-03,1,3.67,2.21,-146.0,-146.0,LOSS,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,AMD 10/3/2025 Call $162.50
UUUU,10/3/2025,C,15.0,UUUU|10/3/2025|C|15.0,2025-09-19,2025-10-03,2025-09-19,2025-10-03,1,1.25,1.75,50.0,50.0,WIN,14,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UUUU 10/3/2025 Call $15.00
MSFT,10/31/2025,C,515.0,MSFT|10/31/2025|C|515.0,2025-10-03,2025-10-07,2025-10-03,2025-10-07,1,19.43,22.45,302.0,302.0,WIN,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MSFT 10/31/2025 Call $515.00
CHWY,11/21/2025,C,37.5,CHWY|11/21/2025|C|37.5,2025-09-23,2025-10-09,2025-09-23,2025-10-09,1,3.05,3.13,8.0,8.0,WIN,16,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CHWY 11/21/2025 Call $37.50
CHWY,11/21/2025,C,37.5,CHWY|11/21/2025|C|37.5,2025-09-23,2025-10-09,2025-09-23,2025-10-09,1,3.05,3.13,8.0,8.0,WIN,16,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CHWY 11/21/2025 Call $37.50
PFE,10/31/2025,C,25.0,PFE|10/31/2025|C|25.0,2025-09-30,2025-10-09,2025-09-30,2025-10-09,1,0.69,0.83,14.0,14.0,WIN,9,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,PFE 10/31/2025 Call $25.00
LAC,10/17/2025,C,3.5,LAC|10/17/2025|C|3.5,2025-10-01,2025-10-10,2025-10-01,2025-10-10,1,3.9,4.0,10.0,10.0,WIN,9,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,LAC 10/17/2025 Call $3.50
NVDA,10/10/2025,C,185.0,NVDA|10/10/2025|C|185.0,2025-09-30,2025-10-10,2025-09-30,2025-10-10,1,5.85,9.65,380.0,380.0,WIN,10,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,NVDA 10/10/2025 Call $185.00
NVDA,10/24/2025,C,195.0,NVDA|10/24/2025|C|195.0,2025-10-10,2025-10-10,2025-10-10,2025-10-10,1,6.0,3.9,-210.0,-210.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,NVDA 10/24/2025 Call $195.00
QQQ,10/14/2025,C,600.0,QQQ|10/14/2025|C|600.0,2025-10-10,2025-10-10,2025-10-10,2025-10-10,1,5.69,4.46,-123.0,-123.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,QQQ 10/14/2025 Call $600.00
RKLB,10/31/2025,C,71.0,RKLB|10/31/2025|C|71.0,2025-10-10,2025-10-10,2025-10-10,2025-10-10,1,7.1,6.55,-55.0,-55.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RKLB 10/31/2025 Call $71.00
RR,10/17/2025,C,5.0,RR|10/17/2025|C|5.0,2025-09-22,2025-10-10,2025-09-22,2025-10-10,3,1.14,1.35,21.0,63.0,WIN,18,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RR 10/17/2025 Call $5.00
RR,10/17/2025,C,5.0,RR|10/17/2025|C|5.0,2025-09-22,2025-10-10,2025-09-22,2025-10-10,3,1.14,1.65,51.0,153.0,WIN,18,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,RR 10/17/2025 Call $5.00
QQQ,10/13/2025,P,589.0,QQQ|10/13/2025|P|589.0,2025-10-10,2025-10-13,2025-10-10,2025-10-13,1,3.87,0.33,-354.0,-354.0,LOSS,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,QQQ 10/13/2025 Put $589.00
QQQ,10/13/2025,P,596.0,QQQ|10/13/2025|P|596.0,2025-10-10,2025-10-13,2025-10-10,2025-10-13,1,4.2,1.08,-312.0,-312.0,LOSS,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,QQQ 10/13/2025 Put $596.00
QQQ,10/15/2025,P,604.0,QQQ|10/15/2025|P|604.0,2025-10-10,2025-10-13,2025-10-10,2025-10-13,1,4.24,7.27,303.0,303.0,WIN,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,QQQ 10/15/2025 Put $604.00
IREN,10/31/2025,C,62.0,IREN|10/31/2025|C|62.0,2025-10-09,2025-10-14,2025-10-09,2025-10-14,1,8.98,11.75,277.0,277.0,WIN,5,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,IREN 10/31/2025 Call $62.00
TMC,10/31/2025,C,9.5,TMC|10/31/2025|C|9.5,2025-10-10,2025-10-14,2025-10-10,2025-10-14,1,1.4,1.75,35.0,35.0,WIN,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,TMC 10/31/2025 Call $9.50
SPY,10/15/2025,C,666.0,SPY|10/15/2025|C|666.0,2025-10-14,2025-10-15,2025-10-14,2025-10-15,3,0.85,1.99,114.0,342.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/15/2025 Call $666.00
SPY,10/15/2025,C,666.0,SPY|10/15/2025|C|666.0,2025-10-14,2025-10-15,2025-10-14,2025-10-15,1,0.85,2.0,115.0,115.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/15/2025 Call $666.00
SPY,10/15/2025,C,666.0,SPY|10/15/2025|C|666.0,2025-10-14,2025-10-15,2025-10-14,2025-10-15,1,1.88,2.0,12.0,12.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/15/2025 Call $666.00
SPY,10/15/2025,P,662.0,SPY|10/15/2025|P|662.0,2025-10-14,2025-10-15,2025-10-14,2025-10-15,1,2.72,0.49,-223.0,-223.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/15/2025 Put $662.00
SPY,10/15/2025,P,662.0,SPY|10/15/2025|P|662.0,2025-10-14,2025-10-15,2025-10-14,2025-10-15,1,2.72,0.52,-220.0,-220.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/15/2025 Put $662.00
SPY,10/16/2025,C,667.0,SPY|10/16/2025|C|667.0,2025-10-15,2025-10-16,2025-10-15,2025-10-16,2,2.86,1.2,-166.0,-332.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/16/2025 Call $667.00
SPY,10/16/2025,C,667.0,SPY|10/16/2025|C|667.0,2025-10-15,2025-10-16,2025-10-15,2025-10-16,2,2.86,1.2,-166.0,-332.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/16/2025 Call $667.00
SPY,10/16/2025,C,667.0,SPY|10/16/2025|C|667.0,2025-10-15,2025-10-16,2025-10-15,2025-10-16,1,2.86,1.2,-166.0,-166.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/16/2025 Call $667.00
GLD,10/24/2025,C,395.0,GLD|10/24/2025|C|395.0,2025-10-16,2025-10-17,2025-10-16,2025-10-17,1,5.41,7.65,224.0,224.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,GLD 10/24/2025 Call $395.00
GLD,10/24/2025,C,396.0,GLD|10/24/2025|C|396.0,2025-10-16,2025-10-17,2025-10-16,2025-10-17,1,5.02,7.75,273.0,273.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,GLD 10/24/2025 Call $396.00
GLD,10/24/2025,C,396.0,GLD|10/24/2025|C|396.0,2025-10-16,2025-10-17,2025-10-16,2025-10-17,1,5.02,7.75,273.0,273.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,GLD 10/24/2025 Call $396.00
SPY,10/20/2025,C,664.0,SPY|10/20/2025|C|664.0,2025-10-17,2025-10-20,2025-10-17,2025-10-20,1,3.65,8.0,435.0,435.0,WIN,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 10/20/2025 Call $664.00
UNH,10/31/2025,C,350.0,UNH|10/31/2025|C|350.0,2025-10-02,2025-10-21,2025-10-02,2025-10-21,1,21.45,21.45,0.0,0.0,FLAT,19,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UNH 10/31/2025 Call $350.00
BABA,11/7/2025,C,167.5,BABA|11/7/2025|C|167.5,2025-10-22,2025-10-22,2025-10-22,2025-10-22,1,8.56,5.98,-258.0,-258.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BABA 11/7/2025 Call $167.50
BABA,11/7/2025,C,167.5,BABA|11/7/2025|C|167.5,2025-10-22,2025-10-22,2025-10-22,2025-10-22,1,8.49,5.98,-251.0,-251.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BABA 11/7/2025 Call $167.50
BYND,11/14/2025,C,2.5,BYND|11/14/2025|C|2.5,2025-10-21,2025-10-22,2025-10-21,2025-10-22,1,1.16,2.61,145.0,145.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BYND 11/14/2025 Call $2.50
BYND,11/14/2025,C,2.5,BYND|11/14/2025|C|2.5,2025-10-21,2025-10-22,2025-10-21,2025-10-22,2,1.16,3.85,269.0,538.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BYND 11/14/2025 Call $2.50
BYND,11/14/2025,C,2.5,BYND|11/14/2025|C|2.5,2025-10-21,2025-10-22,2025-10-21,2025-10-22,2,1.16,3.8,264.0,528.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BYND 11/14/2025 Call $2.50
HOOD,10/31/2025,C,114.0,HOOD|10/31/2025|C|114.0,2025-09-15,2025-10-22,2025-09-15,2025-10-22,1,10.67,12.6,193.0,193.0,WIN,37,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,HOOD 10/31/2025 Call $114.00
QQQ,10/24/2025,P,605.0,QQQ|10/24/2025|P|605.0,2025-10-22,2025-10-22,2025-10-22,2025-10-22,1,3.45,4.54,109.0,109.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,QQQ 10/24/2025 Put $605.00
QQQ,10/24/2025,P,605.0,QQQ|10/24/2025|P|605.0,2025-10-22,2025-10-22,2025-10-22,2025-10-22,2,3.45,5.52,207.0,414.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,QQQ 10/24/2025 Put $605.00
