"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Call $680.00","STC","1","$1.44","$143.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","STC","1","$0.93","$92.94"
"4/15/2026","4/15/2026","4/16/2026","TSLA","TSLA 4/15/2026 Call $395.00","BTO","1","$1.35","($135.04)"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Call $680.00","BTO","3","$0.61","($183.12)"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Call $675.00","STC","1","$2.25","$224.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","STC","1","$0.71","$70.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $631.00","STC","1","$0.35","$34.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","BTO","1","$0.58","($58.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","BTO","1","$0.58","($58.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","BTO","1","$0.58","($58.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","STC","2","$0.32","$63.90"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","STC","1","$0.55","$54.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $631.00","BTO","1","$0.53","($53.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $635.00","BTO","2","$0.41","($82.08)"
"4/15/2026","4/15/2026","4/15/2026","","External debit card transfer - withdrawal reversal account ending in 5447","DCFD","","","$497.14"
"4/15/2026","4/15/2026","4/15/2026","","External debit card transfer - withdrawal fee reversal","DCFD","","","$8.86"
"4/15/2026","4/15/2026","4/16/2026","META","META 4/15/2026 Call $675.00","BTO","1","$1.62","($162.04)"
"4/15/2026","4/15/2026","4/15/2026","","External debit card transfer - withdrawal fee","DCF","","","($8.86)"
"4/15/2026","4/15/2026","4/15/2026","","External debit card transfer - account ending in 5447","DCF","","","($497.14)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","STC","2","$0.35","$69.90"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $632.00","STC","1","$1.29","$128.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $632.00","STC","1","$1.16","$115.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $631.00","STC","1","$1.59","$158.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $632.00","STC","1","$0.96","$95.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $632.00","STC","2","$0.84","$167.90"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $631.00","STC","1","$1.27","$126.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $634.00","BTO","3","$0.29","($87.12)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $632.00","BTO","1","$0.70","($70.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $627.00","STC","1","$0.47","$46.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $629.00","STC","1","$0.89","$88.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $627.00","BTO","1","$0.48","($48.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $632.00","BTO","1","$0.68","($68.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $632.00","BTO","2","$0.68","($136.08)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $629.00","BTO","1","$1.14","($114.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $631.00","BTO","1","$0.91","($91.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $630.00","STC","1","$1.29","$128.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $630.00","STC","1","$1.38","$137.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $630.00","BTO","1","$1.26","($126.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $630.00","STC","1","$1.26","$125.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $620.00","STC","1","$0.13","$12.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $636.00","BTO","5","$0.14","($70.20)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $627.00","STC","1","$0.88","$87.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $636.00","STC","6","$0.12","$71.73"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $636.00","STC","1","$0.12","$11.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $630.00","STC","1","$1.42","$141.94"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Put $627.00","BTO","1","$0.80","($80.04)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $636.00","BTO","7","$0.13","($91.28)"
"4/15/2026","4/15/2026","4/16/2026","QQQ","QQQ 4/15/2026 Call $630.00","BTO","3","$1.06","($318.12)"
"4/14/2026","4/14/2026","4/14/2026","","ACH REVERSAL","ACH","","","($90.96)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/15/2026 Call $635.00","BTO","2","$0.22","($44.08)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/15/2026 Put $620.00","BTO","1","$0.43","($43.04)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/15/2026 Call $632.00","BTO","1","$0.71","($71.04)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/15/2026 Call $631.00","BTO","1","$0.95","($95.04)"
"4/14/2026","4/14/2026","4/15/2026","","ACH Deposit","ACH","","","$250.00"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $628.00","STC","2","$0.34","$67.90"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $628.00","STC","2","$0.46","$91.90"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $628.00","STC","2","$0.24","$47.90"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $628.00","BTO","5","$0.10","($50.20)"
"4/14/2026","4/14/2026","4/15/2026","","ACH Deposit","ACH","","","$50.00"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $628.00","STC","1","$0.51","$50.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $628.00","BTO","2","$0.29","($58.08)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $627.00","STC","2","$0.62","$123.90"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $627.00","BTO","1","$0.71","($71.04)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $627.00","BTO","1","$0.71","($71.04)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $626.00","STC","1","$1.15","$114.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $625.00","STC","1","$1.43","$142.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $626.00","STC","1","$0.79","$78.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $625.00","STC","1","$1.27","$126.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $624.00","STC","1","$1.34","$133.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $625.00","BTO","2","$0.55","($110.08)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $624.00","STC","2","$1.02","$203.90"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $624.00","BTO","1","$0.62","($62.04)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $624.00","BTO","1","$0.62","($62.04)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $624.00","STC","1","$1.00","$99.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $626.00","STC","2","$0.30","$59.90"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $626.00","STC","1","$0.29","$28.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $624.00","BTO","2","$0.85","($170.08)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $622.00","STC","1","$2.06","$205.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $626.00","BTO","5","$0.20","($100.20)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $622.00","STC","1","$1.68","$167.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Put $618.00","STC","1","$0.45","$44.94"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Put $618.00","BTO","1","$0.50","($50.04)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $622.00","BTO","2","$1.14","($228.08)"
"4/14/2026","4/14/2026","4/15/2026","QQQ","QQQ 4/14/2026 Call $615.00","STC","1","$6.02","$601.93"
"4/14/2026","4/14/2026","4/14/2026","","ACH REVERSAL","ACH","","","($150.00)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $617.00","STC","1","$0.03","$2.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $619.00","STC","1","$0.02","$1.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $615.00","STC","1","$0.62","$61.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/14/2026 Call $615.00","BTO","1","$2.05","($205.04)"
"4/13/2026","4/13/2026","4/14/2026","","ACH Deposit","ACH","","","$200.00"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $614.00","STC","1","$1.32","$131.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $619.00","BTO","1","$0.10","($10.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $613.00","STC","1","$1.41","$140.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $614.00","BTO","1","$0.80","($80.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $613.00","STC","1","$1.43","$142.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $613.00","BTO","1","$0.84","($84.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $612.00","STC","1","$1.43","$142.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Put $608.00","STC","1","$0.20","$19.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Put $610.00","STC","1","$0.52","$51.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Put $608.00","BTO","1","$0.37","($37.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $612.00","BTO","1","$0.66","($66.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $615.00","STC","3","$0.09","$26.86"
"4/13/2026","4/13/2026","4/13/2026","","External debit card transfer - withdrawal fee","DCF","","","($2.19)"
"4/13/2026","4/13/2026","4/13/2026","","External debit card transfer - account ending in 5447","DCF","","","($122.81)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Put $610.00","BTO","1","$0.63","($63.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $615.00","BTO","4","$0.14","($56.16)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $613.00","BTO","1","$0.76","($76.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $610.00","STC","1","$2.75","$274.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Call $610.00","BTO","1","$2.08","($208.04)"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Put $609.00","STC","1","$1.32","$131.94"
"4/13/2026","4/13/2026","4/14/2026","QQQ","QQQ 4/13/2026 Put $609.00","BTO","1","$1.92","($192.04)"
"4/13/2026","4/13/2026","4/13/2026","","External debit card transfer - withdrawal fee","DCF","","","($1.00)"
"4/13/2026","4/13/2026","4/13/2026","","External debit card transfer - account ending in 5447","DCF","","","($49.00)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/13/2026 Call $617.00","BTO","1","$0.81","($81.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","2","$0.08","$15.90"
"4/10/2026","4/10/2026","4/13/2026","","ACH Deposit","ACH","","","$90.96"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","STC","2","$0.41","$81.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","2","$0.10","($20.08)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","2","$0.10","$19.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","3","$0.12","$35.86"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","1","$0.54","($54.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","STC","2","$0.45","$89.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","1","$0.47","($47.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","4","$0.16","($64.16)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","1","$0.18","$17.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","1","$0.18","$17.94"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal fee reversal","DCFD","","","$2.21"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal reversal account ending in 5447","DCFD","","","$123.79"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","2","$0.41","($82.08)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - account ending in 5447","DCF","","","($123.79)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal fee","DCF","","","($2.21)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","STC","1","$0.48","$47.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","3","$0.20","($60.12)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $611.00","STC","1","$0.55","$54.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $611.00","BTO","1","$0.65","($65.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $610.00","BTO","1","$0.87","($87.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","STC","1","$1.65","$164.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","STC","1","$0.53","$52.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $612.00","BTO","1","$0.91","($91.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","STC","1","$0.51","$50.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","BTO","1","$0.83","($83.04)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - account ending in 5447","DCF","","","($73.69)"
"4/10/2026","4/10/2026","4/10/2026","","External debit card transfer - withdrawal fee","DCF","","","($1.31)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $614.00","STC","1","$0.44","$43.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","STC","2","$0.78","$155.90"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $614.00","STC","1","$0.43","$42.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","BTO","2","$0.89","($178.08)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","BTO","1","$1.04","($104.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","STC","1","$0.93","$92.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $614.00","BTO","2","$0.46","($92.08)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","STC","1","$0.50","$49.94"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Put $611.00","BTO","1","$1.35","($135.04)"
"4/10/2026","4/10/2026","4/13/2026","QQQ","QQQ 4/10/2026 Call $613.00","BTO","1","$1.15","($115.04)"
"4/10/2026","4/10/2026","4/10/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"4/9/2026","4/9/2026","4/9/2026","","ACH REVERSAL","ACH","","","($31.06)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","STC","1","$1.97","$196.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","STC","1","$1.09","$108.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $603.00","STC","1","$0.26","$25.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $605.00","STC","1","$0.50","$49.94"
"4/9/2026","4/9/2026","4/10/2026","","ACH Deposit","ACH","","","$150.00"
"4/9/2026","4/9/2026","4/10/2026","","ACH Deposit","ACH","","","$5.80"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","BTO","2","$1.06","($212.08)"
"4/9/2026","4/9/2026","4/9/2026","","External debit card transfer - withdrawal fee","DCF","","","($1.00)"
"4/9/2026","4/9/2026","4/9/2026","","External debit card transfer - account ending in 5447","DCF","","","($29.00)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $603.00","BTO","1","$1.04","($104.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $606.00","STC","1","$1.43","$142.94"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $606.00","BTO","1","$1.55","($155.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","STC","4","$0.65","$259.82"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $605.00","BTO","1","$1.25","($125.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","BTO","3","$0.81","($243.12)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $604.00","STC","3","$0.82","$245.86"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $608.00","BTO","1","$0.53","($53.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $607.00","STC","3","$0.86","$257.86"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Put $604.00","BTO","3","$1.23","($369.12)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $607.00","BTO","1","$1.22","($122.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $607.00","BTO","1","$1.22","($122.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $607.00","BTO","1","$1.22","($122.04)"
"4/9/2026","4/9/2026","4/10/2026","QQQ","QQQ 4/9/2026 Call $607.00","STC","1","$1.13","$112.94"
"4/9/2026","4/9/2026","4/9/2026","","External debit card transfer - account ending in 5447","DCF","","","($24.00)"
"4/9/2026","4/9/2026","4/9/2026","","External debit card transfer - withdrawal fee","DCF","","","($1.00)"
"4/8/2026","4/8/2026","4/8/2026","","ACH REVERSAL","ACH","","","($230.00)"
"4/8/2026","4/8/2026","4/8/2026","","ACH REVERSAL","ACH","","","($90.00)"
"4/8/2026","4/8/2026","4/8/2026","","ACH REVERSAL","ACH","","","($156.66)"
"4/8/2026","4/8/2026","4/8/2026","","ACH REVERSAL","ACH","","","($80.00)"
"4/8/2026","4/8/2026","4/8/2026","","ACH REVERSAL","ACH","","","($150.00)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/9/2026 Put $587.00","STC","1","$0.11","$10.94"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/9/2026 Put $587.00","BTO","1","$0.16","($16.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/9/2026 Call $607.00","BTO","1","$1.55","($155.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $604.00","STC","1","$0.42","$41.94"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Call $604.00","STC","1","$0.44","$43.94"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $604.00","BTO","1","$0.62","($62.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $603.00","STC","1","$0.28","$27.94"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $603.00","BTO","1","$0.32","($32.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $605.00","STC","1","$1.50","$149.94"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Call $604.00","BTO","1","$0.46","($46.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $605.00","BTO","1","$1.39","($139.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Call $604.00","STC","1","$0.74","$73.94"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $603.00","STC","1","$0.49","$48.94"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Call $604.00","BTO","1","$0.66","($66.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $603.00","BTO","1","$0.89","($89.04)"
"4/8/2026","4/8/2026","4/9/2026","QQQ","QQQ 4/8/2026 Put $605.00","STC","1","$2.30","$229.94"
